object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201840749349300749,530196583,A,1
201840749349300749,530196583,B,1
201840749349300749,530196583,C,1
201830469349301473,590668483,A,0
201840749349301139,840402707,A,true
201841359349304194,231352665,A,1
201811219349301436,952415066,A,1
201841359349301734,951642394,A,true
201841359349301734,951642394,B,true
201841359349301734,951642394,C,true
201841359349301739,610444780,A,true
201811209349301246,470376583,A,1
201811209349301246,470376583,B,1
201841069349300519,231352654,A,1
201841069349300519,231352654,B,1
201821349349302387,520591672,RetDoc1053100001,A,1
201821349349302387,520591672,RetDoc1053100001,B,1
201821349349302387,520591672,RetDoc1053100001,C,1
201821349349302387,520591672,RetDoc1053100001,D,1
201801319349302850,141338580,A,true
201801319349302850,141338580,B,true
201801319349302825,060646959,A,true
201801299349302025,221494434,IRS990ScheduleK,A,true
201801299349302025,221494434,IRS990ScheduleK,B,true
201801299349302025,221494434,IRS990ScheduleK,C,true
201801299349302025,221494434,IRS990ScheduleK,D,true
201821349349301617,060646829,A,true
201821349349301617,060646829,B,true
201821349349301617,060646829,C,true
201821349349301587,591023117,A,true
201821349349301587,591023117,B,true
201821349349301587,591023117,C,true
201801319349300635,111635105,A,true
201821349349301942,042103552,A,true
201821349349301942,042103552,B,true
201821349349301942,042103552,C,true
201821349349301942,042103552,D,true
201831239349301118,160743996,A,0
201831069349301078,160743150,A,1
201831069349301078,160743150,B,1
201831069349300808,741161940,RetDoc1053100001,A,1
201831069349300808,741161940,RetDoc1053100001,B,1
201831069349300808,741161940,RetDoc1053100001,C,1
201831069349300808,741161940,RetDoc1053100001,D,1
201831069349300243,420680351,A,1
201831069349300433,560529940,A,true
201831069349300433,560529940,B,true
201801069349300430,720408915,A,true
201811109349300311,390808497,A,1
201811109349300311,390808497,B,1
201811109349300311,390808497,C,1
201841239349300719,381358014,A,1
201811209349301566,160743140,A,true
201811209349301566,160743140,B,true
201811209349301566,160743140,C,true
201811209349301566,160743140,D,true
201821229349301487,361557840,A,0
201821229349301487,361557840,B,0
201831219349301868,951644593,A,0
201831239349301168,440617326,A,true
201811209349300716,221500645,IRS990ScheduleK,A,true
201811209349300716,221500645,IRS990ScheduleK,B,true
201811209349300716,221500645,IRS990ScheduleK,C,true
201811209349300716,221500645,IRS990ScheduleK,D,true
201841229349300149,580593438,A,false
201830319349300923,131628149,R000010,A,0
201830319349300923,131628149,R000010,B,0
201830319349300923,131628149,R000010,C,0
201830319349300923,131628149,R000010,D,0
201821229349301647,061519057,A,1
201821229349301647,061519057,B,1
201821229349301647,061519057,C,1
201801299349301840,010212542,A,1
201801299349301840,010212542,B,1
201801299349301840,010212542,C,1
201821039349300542,951684793,A,1
201821039349301102,750827465,IRS990ScheduleK1,A,true
201821039349301102,750827465,IRS990ScheduleK1,B,true
201821039349301102,750827465,IRS990ScheduleK1,C,true
201821039349301102,750827465,IRS990ScheduleK1,D,true
201821039349301262,951643334,A,true
201821039349301262,951643334,B,true
201821039349301262,951643334,C,true
201811179349301261,112157078,A,0
201811209349300001,362387148,A,1
201800759349300840,951716809,A,1
201811029349300506,520591661,A,true
201811029349300506,520591661,B,true
201811029349300506,520591661,C,true
201811039349300146,430662529,A,true
201811039349300146,430662529,B,true
201821079349300122,560529999,A,0
201821079349300122,560529999,B,0
201821079349300122,560529999,C,0
201821079349300512,620465076,A,false
201821079349300512,620465076,B,false
201811239349301601,050259080,A,1
201811239349301601,050259080,B,1
201821219349300217,480543734,A,false
201821219349300217,480543734,B,false
201841039349300444,250965430,A,1
201800819349300410,362169145,A,true
201800819349300410,362169145,B,true
201800819349300410,362169145,C,true
201811069349300106,160743040,A,true
201811069349300106,160743040,B,true
201811069349300106,160743040,C,true
201811069349300841,590624458,A,1
201811069349300841,590624458,B,1
201811069349300841,590624458,C,1
201811069349301066,362722198,A,true
201811069349301066,362722198,B,true
201831079349301313,410708577,A,0
201841069349301554,420680412,A,0
201841069349301554,420680412,B,0
201801319349303895,344428207,A,false
201801319349303895,344428207,B,true
201801319349303885,941156646,A,0
201811079349301651,141338562,A,0
201811079349301651,141338562,B,0
201811079349301651,141338562,C,0
201811089349300831,590859121,A,true
201801029349300030,570324906,A,1
201801029349300030,570324906,B,1
201840969349300349,470378777,A,0
201840969349300349,470378777,B,0
201840969349300709,590637903,A,1
201840969349300709,590637903,B,1
201840969349300709,590637903,C,1
201831159349300328,952261113,A,1
201831159349300328,952261113,B,1
201831159349300213,941156266,IRS990ScheduleK1,A,true
201831159349300213,941156266,IRS990ScheduleK1,B,true
201831159349300213,941156266,IRS990ScheduleK1,C,true
201831159349300213,941156266,IRS990ScheduleK1,D,true
201801069349300845,910565571,A,1
201801069349300845,910565571,B,1
201801079349300715,420680389,A,1
201820759349300837,310536647,A,true
201820759349300837,310536647,B,true
201820759349300837,310536647,C,true
201830799349301108,470491571,A,false
201801079349301655,470405319,A,0
201821089349301012,250496976,R000010,A,1
201821089349301012,250496976,R000010,B,1
201821089349301012,250496976,R000010,C,1
201821089349301012,250496976,R000010,D,1
201841009349300324,010211810,R000011,A,1
201841009349300324,010211810,R000011,B,1
201841009349300324,010211810,R000011,C,1
201841009349300324,010211810,R000011,D,1
201830329349300203,340714626,A,0
201811069349300306,550370901,A,0
201841019349300114,231352688,IRS990ScheduleK,A,true
201841019349300114,231352688,IRS990ScheduleK,B,true
201841019349300114,231352688,IRS990ScheduleK,C,true
201841019349300114,231352688,IRS990ScheduleK,D,true
201841019349301014,540505922,A,1
201841019349301014,540505922,B,1
201841019349301014,540505922,C,1
201801069349300125,231352615,A,1
201801069349300125,231352615,B,1
201801069349300125,231352615,C,1
201801069349300125,231352615,D,1
201810789349300446,610482955,A,0
201810789349300446,610482955,B,0
201810789349300446,610482955,C,0
201801079349301250,362181973,A,true
201801079349301250,362181973,B,true
201841039349301209,570314408,A,1
201801049349300210,231526668,A,1
201831139349300048,440545280,A,true
201831139349300048,440545280,B,true
201841039349300219,160755807,A,0
201841039349300219,160755807,B,0
201841039349300404,141338498,A,true
201841039349300904,042103545,A,true
201841039349300904,042103545,B,true
201841039349300904,042103545,C,true
201841039349300904,042103545,D,true
201841039349301029,042300472,A,true
201841039349301029,042300472,B,true
201841039349301029,042300472,C,true
201841039349301119,520591623,A,true
201841039349301119,520591623,B,true
201841039349301119,520591623,C,true
201841039349301119,520591623,D,true
201821159349300747,510537391,A,1
201830959349300418,390806297,A,1
201830959349300418,390806297,B,1
201841079349300309,910916534,A,0
201821079349300312,060653264,R000011,A,0
201821079349300312,060653264,R000011,B,0
201821079349300312,060653264,R000011,C,0
201821079349300312,060653264,R000011,D,0
201820949349300717,362167855,A,false
201820949349300717,362167855,B,false
201820949349300717,362167855,C,false
201830969349301018,411607453,A,1
201830969349301018,411607453,B,1
201841359349313359,951664112,IRS990ScheduleK,A,true
201841359349313359,951664112,IRS990ScheduleK,B,true
201841359349313359,951664112,IRS990ScheduleK,C,true
201841359349313359,951664112,IRS990ScheduleK,D,true
201831039349300903,150545841,A,true
201831039349300903,150545841,B,true
201831039349300903,150545841,C,true
201831039349300903,150545841,D,true
201831039349300918,410693962,RetDoc1053100001,A,1
201831039349300918,410693962,RetDoc1053100001,B,1
201831039349300918,410693962,RetDoc1053100001,C,1
201831039349300918,410693962,RetDoc1053100001,D,1
201811039349300206,741109633,A,true
201811039349300206,741109633,B,true
201811039349300501,520591661,A,true
201811039349300501,520591661,B,true
201811039349300501,520591661,C,true
201830999349300628,620475691,A,0
201830999349300628,620475691,B,0
201830999349300628,620475691,C,0
201841359349308224,421315493,A,true
201841359349308224,421315493,B,true
201841359349308279,042103629,RetDoc1053100001,A,1
201841359349308279,042103629,RetDoc1053100001,B,1
201841359349308279,042103629,RetDoc1053100001,C,1
201841359349308279,042103629,RetDoc1053100001,D,1
201801039349300145,741193459,A,0
201801039349300145,741193459,B,0
201801039349300145,741193459,C,0
201831009349300713,350867977,IRS990ScheduleK,A,true
201831009349300713,350867977,IRS990ScheduleK,B,true
201831009349300713,350867977,IRS990ScheduleK,C,true
201831009349300713,350867977,IRS990ScheduleK,D,true
201840759349301119,910564993,A,1
201831179349301458,930386839,A,1
201801179349301325,951643389,A,1
201801179349301325,951643389,B,1
201841359349301584,440562048,A,true
201841359349301584,440562048,B,true
201821159349300202,042103731,A,true
201821159349300202,042103731,B,true
201821159349300202,042103731,C,true
201801109349300520,221494428,A,true
201840799349300329,410693979,A,true
201840799349300329,410693979,B,true
201840799349300329,410693979,C,true
201840799349300329,410693979,D,true
201841359349309359,381550064,A,1
201841359349307394,042103639,A,1
201841359349307394,042103639,B,1
201841359349307394,042103639,C,1
201801219349300830,340714600,A,0
201831209349301208,420680344,A,true
201811219349300231,420680372,A,1
201841079349300729,310725957,A,true
201841359349303859,135598093,IRS990ScheduleK,A,true
201841359349303859,135598093,IRS990ScheduleK,B,true
201841359349303859,135598093,IRS990ScheduleK,C,true
201841359349303859,135598093,IRS990ScheduleK,D,true
201821029349300127,350868158,A,true
201821029349300127,350868158,B,true
201821029349300127,350868158,C,true
201821039349300027,590624440,A,true
201821039349300027,590624440,B,true
201821039349300027,590624440,C,true
201821219349301497,410969244,A,1
201821219349301497,410969244,B,1
201821219349301497,410969244,C,1
201821219349301497,410969244,D,1
201821109349300902,042104229,A,1
201821109349300902,042104229,B,1
201821109349300902,042104229,C,1
201801149349300730,231352648,A,true
201801149349300730,231352648,B,true
201821149349300617,540506306,A,0
201830969349300733,260466209,A,1
201821159349300317,251125048,A,0
201821159349300317,251125048,B,0
201831239349300013,741109620,A,true
201801209349300040,135645885,RetDoc1053100001,A,1
201801209349300040,135645885,RetDoc1053100001,B,1
201801209349300040,135645885,RetDoc1053100001,C,1
201801209349300040,135645885,RetDoc1053100001,D,1
201831229349300728,930386892,A,true
201831229349300728,930386892,B,true
201831229349300728,930386892,C,true
201811059349300416,410695527,A,1
201811059349300416,410695527,B,1
201821049349300017,750800691,A,false
201821049349300017,750800691,B,false
201840469349301129,350868086,A,true
201841099349300424,240795495,A,1
201841099349300424,240795495,B,1
201841099349300424,240795495,C,1
201841099349300424,240795495,D,1
201801019349301010,710239383,IRS990ScheduleK.1,A,true
201801019349301010,710239383,IRS990ScheduleK.1,B,true
201801019349301010,710239383,IRS990ScheduleK.1,C,true
201801019349301010,710239383,IRS990ScheduleK.1,D,true
201841359349310024,570324915,A,1
201841359349310254,330413730,A,false
201841359349310254,330413730,B,false
201820939349300322,310971599,A,0
201820939349300322,310971599,B,0
201820939349300322,310971599,C,0
201820939349300322,310971599,D,0
201801319349303455,111797182,A,1
201801319349303455,111797182,B,1
201841159349301069,210634981,A,true
201841159349301069,210634981,B,true
201841159349301069,210634981,C,true
201841159349301069,210634981,D,true
201821029349300832,111630830,IRS990ScheduleK,A,true
201821029349300832,111630830,IRS990ScheduleK,B,true
201821029349300832,111630830,IRS990ScheduleK,C,true
201821029349300832,111630830,IRS990ScheduleK,D,true
201840999349300869,250981156,A,1
201801319349304870,133838740,A,true
201820309349300737,231352664,A,1
201820309349300737,231352664,B,1
201831139349300523,231522643,RetDoc1053100001,A,1
201831139349300523,231522643,RetDoc1053100001,B,1
201831139349300523,231522643,RetDoc1053100001,C,1
201831139349300523,231522643,RetDoc1053100001,D,1
201801159349301025,361521940,A,0
201810449349300436,610444825,R000008,A,1
201810449349300436,610444825,R000008,B,1
201810449349300436,610444825,R000008,C,1
201810449349300436,610444825,R000008,D,1
201811139349300801,240795445,A,true
201811139349300801,240795445,B,true
201811139349300801,240795445,C,true
