object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201720349349300952,540505922,Distressed Debt,297125,F
201720349349300952,540505922,Real Estate,4586909,F
201740329349300619,390977529,Financial derivatives and other financial products
201740329349300619,390977529,Closely-held equity interests
201720399349300422,610470593,INVESTMENTS,9356739,F
201720399349300422,610470593,MORGAN STANLEY INVESTMENTS,31386346,F
201603419349300805,620535755,MUTUAL FUNDS,29964547,F
201603419349300805,620535755,EXCHANGE-TRADED AND CLOSED-END FUNDS,3132307,F
201603419349300805,620535755,UNIT INVESTMENT TRUSTS,29193,F
201603419349300805,620535755,COMMON STOCKS,8145,F
201603419349300805,620535755,CASH AND CASH EQUIVALENTS HELD FOR LONG-TERM INVESTMENT,1557135,F
201740379349300309,750917417,Financial derivatives and other financial products
201740379349300309,750917417,Closely-held equity interests
201710269349301261,390806263,Hedge Funds,5144449,F
201710269349301261,390806263,Real Estate Funds,1310540,F
201710269349301261,390806263,Private Equity Funds,688092,F
201710399349300621,382410852,Prisma,3502704,F
201710399349300621,382410852,LCG Hedged Equity Fund,6906758,F
201740329349300329,420680460,CASH SURRENDER VALUE - LIFE INSURANCE,4266173,F
201740329349300329,420680460,FUNDS HELD IN TRUST BY OTHERS,10265209,F
201740329349300329,420680460,PRIVATE EQUITY FUNDS,41053384,F
201740329349300329,420680460,PRIVATE COMMINGLED BOND FUNDS,13412310,F
201720449349300982,576000734,BONDS,1313005,F
201720449349300982,576000734,LAND HELD FOR INVESTMENT,85376,C
201720449349300982,576000734,MONEY MARKET,929249,F
201720449349300982,576000734,MUTUAL FUNDS,8414657,F
201700129349300715,620518288,Alternative investments - level 1,2365617,F
201700129349300715,620518288,Alternative investments - level 2,7224634,F
201700129349300715,620518288,Private equity funds - level 3,2582445,F
201700129349300715,620518288,Land and other investments held,2187071,F
201700139349300315,580644897,EQUITY SECURITIES,3795536,F
201700139349300315,580644897,FIXED INCOME SECURITIES,850608,F
201700139349300315,580644897,SHORT TERM INVESTMENTS,292571,F
201700119349300335,820200907,NOTES/BONDS,16666049,F
201700119349300335,820200907,REAL ESTATE,1802900,F
201720339349300737,620511454,"HOLSTON CONFERENCE OF UMC FOUNDATION, INC. - ENDOWMENT",825315,F
201720339349300737,620511454,UNITED METHODIST HIGHER EDUCATION FUND,14246,F
201730279349300023,731303821,Other Securities,23333577,F
201720459349301537,610444650,SPECIAL OPPORTUNITIES,68520500,F
201720459349301537,610444650,REAL ESTATE,2766700,F
201720459349301537,610444650,HEDGE FUNDS,145173600,F
201720459349301537,610444650,Private EquitY,44792900,F
201700289349300410,231352692,LIFE INSURANCE POLICIES CASH SURRENDER VALUE,27572,F
201700289349300410,231352692,ALTERNATIVE INVESTMENTS,19715993,F
201710469349302606,161554414,Investments held by Roberts Wesleyan College,3228122,F
201700459349303115,560532296,Financial derivatives and other financial products
201700459349303115,560532296,Closely-held equity interests
201710459349303266,626001104,MONEY MARKET FUNDS,3103300,F
201710459349303266,626001104,EQUITY MUTUAL FUNDS,64737772,F
201710459349303266,626001104,FIXED INCOME MUTUAL FUNDS,11884374,F
201710459349303266,626001104,REAL ASSETS,11416977,F
201710459349303266,626001104,DIRECTIONAL AND RELATIVE VALUE,21902994,F
201710459349303266,626001104,REAL ESTATE,1723029,F
201710459349303266,626001104,CASH AND MONEY MARKET FUNDS,75419,F
201710459349303266,626001104,U.S. GOVERNMENT OBLIGATION,417206,F
201710459349303266,626001104,FIXED INCOME SECURITIES,920402,F
201710459349303266,626001104,MARKETABLE EQUITABLE SECURITIES,5088062,F
201710459349303266,626001104,CASH SURRENDER VALUE OF INSURANCE,144633,F
201710449349301216,390806297,ALTERNATIVE INVESTMENTS,101906330,F
201740249349300819,370661491,REAL ESTATE HELD FOR INVESTMENT-FARMLAND,6757757,F
201740249349300819,370661491,COMMONFUND: MULTI-STRATEGY EQUITY FUND,12385395,F
201740249349300819,370661491,COMMONFUND: MULTI-STRATEGY BOND FUND,6838087,F
201740249349300819,370661491,"CAPITAL PARTNERS VI, LP",26590,F
201700389349301045,741277664,ALTERNATIVE INVESTMENTS,15145024,F
201730449349302358,560530242,DOMestic EQUITIES FUNDS,20191422,F
201730449349302358,560530242,INT. EQUITIES FUNDS,17188687,F
201730449349302358,560530242,FIXED INCOME FUNDS,9969122,F
201730449349302358,560530242,CHARITABLE TRUSTS inv.,523083,F
201730449349302358,560530242,FUND OF FUNDS,15242769,F
201730449349302358,560530242,PRIVATE EQUITY,3563820,F
201730449349302358,560530242,PRIVATE REAL ESTATE FUNDS,576261,F
201730449349302358,560530242,TIMBER,6516835,F
201730449349302358,560530242,REITS,6056687,F
201730449349302358,560530242,Global EquitIes,8987372,F
201730099349300323,420680466,INVESTMENT IN SUBSIDIARY,1788491,C
201730099349300323,420680466,PRIVATE EQUITY FUNDS,6093284,F
201730099349300323,420680466,HEDGE FUNDS,3695791,F
201730099349300323,420680466,REAL ESTATE PARTNERSHIPS & REITS,768713,F
201730099349300323,420680466,FUND OF FUNDS,12655274,F
201730099349300323,420680466,"PARTNERSHIPS, REAL ASSETS",3376662,F
201700809349300765,330683684,Financial derivatives and other financial products
201700809349300765,330683684,Closely-held equity interests
201740449349300934,800957275,RREEF AMERICA REIT II REAL ESTATE INVESTMENT FD,2363612,F
201730469349303273,580566205,PRIVATE EQUITY FUNDS,9157335,F
201730469349303273,580566205,REAL ASSET FUNDS,2828107,F
201730469349303273,580566205,CASH AND CASH EQUIVALENTS,2683150,F
201730469349303273,580566205,HEDGE FUNDS,14150308,F
201730469349303928,941312349,Charitable Irrevocable Trust,1570734,F
201730469349303928,941312349,Property,74613,F
201730469349303928,941312349,Patronage Certificates,185936,C
201700799349300310,135562314,COMMINGLED FUNDS,22439271,F
201700799349300310,135562314,ALT INVESTMENTS - DIVERSIFIERS,4391382,F
201700799349300310,135562314,ALT INVESTMENTS - GLOBAL EQU,8502089,F
201700799349300310,135562314,ALT INVESTMENTS - LONG/SHORT,6830108,F
201700799349300310,135562314,"ALT INVESTMENTS - LLP, LLC",12048810,F
201700899349300720,620488046,Cash equivalents,1920951,F
201700899349300720,620488046,Bonds,21703751,F
201700899349300720,620488046,Other,4331233,F
201740419349301084,550357021,MONEY MARKET FUNDS,5437215,F
201730469349303193,930401259,Private equity investments,3005491,F
201730469349303193,930401259,Beneficial interest in assets held by others,149816366,F
201710449349302236,470378777,"Russell Total Return Fund Q - Class B, Series 1",5236079,F
201720449349300007,540505892,Alternatives - Real Assets,6876077,F
201720449349300007,540505892,Alternatives - Hedge Funds,13894932,F
201700729349300115,910236600,Alternative Investments,73237000,F
201740649349300304,231352668,BENEFICIAL INTEREST IN TRUSTS,521212,F
201740649349300304,231352668,ASSET ALLOCATION,50779905,F
201740649349300304,231352668,PRIVATE EQUITY,14411819,F
201740649349300304,231352668,HEDGE FUNDS,16537934,F
201740649349300304,231352668,INFLATION HEDGE FUNDS,4963246,F
201740649349300304,231352668,ABSOLUTE,8982013,F
201700559349300145,440552049,Cash Equivalents,1979227,F
201700559349300145,440552049,REIT Funds,5122450,F
201700559349300145,440552049,Other Investments,11040001,F
201730769349300133,560532297,mutual funds,15773395,F
201730769349300133,560532297,equity securities,4331839,F
201730769349300133,560532297,FIXED INCOME,2316691,F
201700729349300625,840402707,ALTERNATIVE INVESTMENTS,10587692,F
201700729349300625,840402707,CASH SURRENDER VALUE LIFE INS.,237279,F
201720469349302942,237179639,LIMITED PARTNERSHIPS,2433972,F
201720469349302942,237179639,HEDGE FUNDS,7905602,F
201720469349302942,237179639,REAL ESTATE FUNDS,480799,F
201720469349302942,237179639,VENTURE CAPITAL FUNDS,282737,F
201720469349302942,237179639,DOMESTIC PRIVATE EQUITY FUNDS,1993900,F
201720469349302942,237179639,INTERNATIONAL PRIVATE EQUITY FUNDS,163150,F
201720469349302942,237179639,INVESTMENT IN 8800 CONCORD LLC,595596,F
201730469349302838,430655867,Liquid Assets,3344915,F
201730469349302838,430655867,Hedge Fund,25457329,F
201730469349302838,430655867,Private Equity,1060100,F
201730469349302838,430655867,Global Bonds,1369102,F
201730469349302838,430655867,Private Real Estate,5504239,F
201730469349302838,430655867,Global Equity,85804523,F
201730469349302838,430655867,Venture Capital,339565,F
201730469349302838,430655867,Real Assets,F
201710739349300406,362216176,ALTERNATIVE INVESTMENTS,5604400,F
201740459349302144,710239576,Investments in private investment companies,12663864,F
201740459349302144,710239576,Private equity investments,3766482,F
201740459349302144,710239576,Charitable trust investments,1004799,F
201740459349302144,710239576,Real estate,855198,F
201740459349302144,710239576,Oil and gas rights,873424,F
201740459349302144,710239576,Cash surrender value of life insurance,194923,F
201740459349302144,710239576,Artwork,57325,F
