object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
202023019349301807,840600653,GOLD CROWN MANAGEMENT COMPANY,1743 WAZEE STREET STE 300,DENVER,CO,80202,PROJECT MANAGEMENT SERVICES,129000
202013189349303356,710236867,NABHOLZ CONSTRUCTION COPORATIO,612 GARLAND,CONWAY,AR,72033,CONSTRUCTION,5645801
202013189349303356,710236867,NATIONAL MANAGEMENT RESOURCES CORP,PO BOX 1224,LAGRANGE,GA,30241,FACILITIES MANAGEMENT,1143628
202013189349303356,710236867,ARAMARK CAMPUS SERVICES,27310 NETWORK PLACE,CHICAGO,IL,60673,FOOD SERVICE,825973
202013189349303356,710236867,CREDO DESIGN ARCHITECTS LLC,940 GOLF HOUSE ROAD W 200,WHITSETT,NC,27377,ARCHITECTURE DESIGN,575904
202013189349303356,710236867,HOWARD TECHNOLOGY SOLUTIONS,PO BOX 11407,BIRMINGHAM,AL,35246,INFORMATION TECHNOLOGY,285530
202041119349300514,430662529,RAINERI CONSTRUCTION LLC,1300 HAMPTON AVE SUITE 200,ST LOUIS,MO,63139,CONSTRUCTION SERVICE,2450793
202041119349300514,430662529,SODEXO INC,9801 WASHINGTON BLVD,GAITHERSBURG,MD,20878,FOOD AND MAINT SERV,3794686
202041119349300514,430662529,HUGHES LEAHY KARLOVIC INC,1141 S 7TH STREET,ST LOUIS,MO,63104,ADVERTISING SERVICES,1936245
202041119349300514,430662529,MINDMAX LLC,1001 HINGHAM ST SUITE 300,ROCKLAND,MA,02370,ADVERTISING SERVICES,1205711
202041119349300514,430662529,WORLD WIDE TECHNOLOGY,60 WELDON PARKWAY,MARYLAND HEIGHTS,MO,63043,COMPUTER SERVICES,1002894
202001339349303270,951667177,DEL AMO CONSTRUCTION INC,23840 MADISON ST,TORRANCE,CA,90505,CONSTRUCTION AND PROJECT MANAGEMENT,7242413
202001339349303270,951667177,PACIFIC NATIONAL GROUP,2392 SOUTH BATEMAN AVE,IRWINDALE,CA,91010,GENERAL CONTRACTORS,4837601
202001339349303270,951667177,JORGENSEN-REEVE BUILDERS INC,4965 TOPANGA CANYON BLVD,WOODLAND HILLS,CA,91364,GENERAL CONTRACTORS,1190165
202001339349303270,951667177,O'MELVENY & MYERS LLP,400 S HOPE ST 18TH FLOOR,LOS ANGELES,CA,90071,ATTORNEYS,1049984
202001339349303270,951667177,PARKER BROWN INC,6727 VARIEL AVE,CANOGA PARK,CA,91303,CONSTRUCTION AND PROJECT MANAGEMENT,915150
202140999349301114,520591661,Fidelity Mechanical Services,25 Loveton Circle,PITTSBURGH,PA,15264,OTHER SERVICE,3374869
202140999349301114,520591661,PARKHURST DINING SERVICES,PO BOX 644091,GLEN BURNIE,MD,21060,FOOD SERVICE,2087943
202140999349301114,520591661,Elsmere Education Inc,90 Madison Street Ste 602,MCLEAN,VA,22102,PROFESSIONAL SERVICE,1433899
202140999349301114,520591661,Window Consultants Inc,7-A Gwynns Mills Court,BALTIMORE,MD,21229,CONSTRUCTION,1083576
202140999349301114,520591661,Cross Country Consulting,1600 Tysons Blvd Ste 1100,PLEASANTON,CA,94588,PROFESSIONAL SERVICE,782405
202131379349308773,060646936,SODEXO OPERATIONS,PO BOX 360170,PITTSBURGH,PA,152516000,CAMPUS FOOD SERVICE,5648755
202131379349308773,060646936,C&W FACILITY SERVICES INC,275 GROVE ST SUITE 3-200,AUBURNDALE,MA,024662274,BUILDING & GROUNDS MAINTENANCE,5080198
202131379349308773,060646936,SECURITAS SECURITY,2400 COMMERCE AVE BLDG 1100 SUITE 5,DULUTH,GA,30096,SECURITY SERVICES,2047045
202131379349308773,060646936,BBA SOLUTIONS PARNERSHIP GROUP,11300 CANTRALL RD STE 105,LITTLE ROCK,AK,72212,AUXILIARY SERVICES - STUDENT TEXTBOOKS,1242466
202131379349308773,060646936,RAM BUILDING GROUP,50 QUALITY STREET,TRUMBULL,CT,06611,CONSTRUCTION & ENGINEERING SERVICES,1069996
202121339349303267,381624684,Creative Dining Services,1 Royal Park,Zeeland,MI,49464,Food Service,2586287
202121339349303267,381624684,SERVPRO Saginaw,470 N Adams Street,Saginaw,MI,48604,Damage Restoration,1250000
202121339349303267,381624684,Ellucian,62578 Collections Center Drive,Chicago,IL,60693,IT Sevices,474618
202121339349303267,381624684,Falls Digital,50 Public Square FL 25,Cleveland,OH,44113,Communications,341149
202121339349303267,381624684,STT Inc,1600 N Mission,Mt Pleasant,MI,48858,Security,609921
202121339349306502,660350945,CAPITOL SECURITY POLICE,PO BOX 11157 FERNANDEZ JUNCOS STATI,SAN JUAN,PR,00908,SECURITY SERVIC,169272
202121339349306662,232215278,BENCHMARK CONSTRUCTION COMPANY,4121 OREGON PIKE,EPHRATA,PA,17522,CONSTRUCTION,416453
202011969349305526,590668483,Thompson Hospitality Services,505 Huntmar Park Drive,Suite 300,Herndon,VA,20170,Cafeteria foodservice,2901540
202011969349305526,590668483,Sodexo America,9801 Washington Blvd,Gaithersburg,MD,20878,Custodial and landscaping,1050592
202011969349305526,590668483,Florida Power & Light,General Mail Facility,Miami,FL,33188,Electricity,934450
202011969349305526,590668483,Florida Blue,4800 Deerwood Campus Parkway,Jacksonville,FL,32246,Health Insurance - Employees,930883
202011969349305526,590668483,Allied Universal Security Services,7300 Corporate Center Drive,Suite 401,Miami,FL,33126,Security Services,748010
202031969349303968,760690847,NEXSTEP INC,1800 N INTERSTATE DR,NORMAN,OK,73072,CPEO,2505863
202120919349301707,610444708,MOMENTUM CONSTRUCTION,4690 LAURELWOOD DR,LEXINGTON,KY,40515,CONSTRUCTION,2854462
202120919349301707,610444708,ARAMARK,PO BOX 7548,PHILADELPHIA,PA,191017548,OUTSOURCED FACILITIES AND DINING SERVICE,2672178
202120919349301707,610444708,DEAN BUILDS INC,109 MERCER COURT,LEXINGTON,KY,40511,CONSTRUCTION,1592688
202120919349301707,610444708,FERRO PRODUCTS CORPORATION,PO BOX 753,CHARLESTOWN,WV,25323,CONSTRUCTION,212500
202120919349301707,610444708,AMERICAN BUILDINGS COMPANY,PO BOX 751541,CHARLOTTE,NC,28275,CONSTRUCTION,200000
202033219349315688,251065148,BON APPETIT MANAGEMENT COMPANY,2730 SAND HILL ROAD SUITE 100,MENLO PARK,CA,94025,FOOD SERVICE MGMT,5842949
202033219349315688,251065148,MASONRY PRESERVATION SERVICES,7255 OLD BERWICK ROAD,BLOOMSBURG,PA,17815,CONSTRUCTION SERVICES,868552
202033219349315688,251065148,VASCO SPORTS CONTRACTORS,4270 STERILITE ST SE,MASSILLON,OH,44646,CONSTRUCTION SERVICES,850183
202033219349315688,251065148,FIELDTURF USA INC,175 N INDUSTRIAL BLVD NE,CALHOUN,GA,30701,CONSTRUCTION SERVICES,408444
202033219349315688,251065148,CAMPBELL BUS LINES,258 GROVE CITY ROAD,SLIPPERY ROCK,PA,16057,TRANSPORTATION SERVICES,308040
202021979349302682,570314390,Aramark Campus Services,PO Box 978839,Dallas,TX,75397,Dining Hall Services,2112513
202021979349302682,570314390,Aramark Facilities Services,PO Box 978839,Dallas,TX,75397,Facilities/Grounds Maintenance,1932437
202021979349302682,570314390,Maxima Specialty Group,525 Woodruff Rd,Greenville,SC,29607,Controller Services,138650
202031819349301673,460224600,Aramark Campus Services,27310 Network Place,Chicago,IL,60673,food services management,2294180
202031819349301673,460224600,National Management Resources,113 Corporate Park East Drive,LaGrange,GA,30241,facilities management,538752
202031819349301673,460224600,EAB,1920 East Parham,Richmond,VA,23228,enrollment consulting,516935
202031819349301673,460224600,D&G Concrete Construction,1408 E 39th Street North,Sioux Falls,SD,57104,construction,234799
202031819349301673,460224600,Jenzabar,PO Box 55018,Boston,MA,02205,software provider for ERP system,205812
202043189349304149,470724387,MEYERS CARLISE LEAPLEY,14124 INDUSTRIAL ROAD,OMAHA,NE,68144,CONSTRUCTION SERVICES,265559
202043189349304149,470724387,ASSESSMENT TECHNOLOGIES,11161 OVERBROOK RD,LEAWOOD,KS,66211,EDUCATION SERVICES,235909
202043189349304149,470724387,STRATUS BUILDING SERVICES,8045 L STREET,OMAHA,NE,68127,CLEANING SERVICES,178773
