object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201402879349300145,381443369,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201422959349300417,410795255,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413119349300836,620548917,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201412889349200606,581047430,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423529349300812,431658069,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201423379349300007,061744054,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201423079349302087,810444020,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201433179349305078,362166964,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413459349300626,631191637,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201421889349300852,370692975,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
201422539349300442,112705352,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201413509349300036,951916051,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201433149349302058,020267883,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
