object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,RgnTtlExpndtrsAmt
201613209349309286,160743900,"North America (including Canada and Mexico, but not the United States)",0,0,Speaking at Seminars or Conferences,8165
201613209349309286,160743900,South America,0,0,Speaking at Seminars or Conferences,1482
201613209349309286,160743900,South Asia,0,0,Speaking at Seminars or Conferences,1448
201613209349309286,160743900,Central America and the Caribbean,0,0,Program Services,Study Abroad,22856
201613209349309286,160743900,East Asia and the Pacific,0,0,Program Services,Program Development/Research/Teaching/Study Abroad,109708
201613209349309286,160743900,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Study Abroad,7256
201613209349309286,160743900,Europe (including Iceland and Greenland),0,0,Program Services,Program Development/Research/Teaching/Study Abroad,164296
201613209349309286,160743900,South America,0,0,Program Services,Faculty Development,2500
201633199349301938,510413351,EUROPE,0,0,PROGRAM SERVICES,THE IRISH AMERICAN UNIVERSITY MAKES PAYMENTS TO THE AMERICAN COLLEGE OF DUBLIN FOR EXPENSES OF STUDENTS TO STUDY ABROAD.,399780
201633209349316463,650216638,CHINA,1,PROGRAM SERVICES,ACADEMIC STUDIES,157099
201633209349316463,650216638,MOLDOVA,1,PROGRAM SERVICES,ACADEMIC STUDIES,11186
201633209349316463,650216638,NICARAGUA,4,353,PROGRAM SERVICES,ACADEMIC STUDIES,8687656
201633209349316463,650216638,EL SALVADOR,1,1,PROGRAM SERVICES,ACADEMIC STUDIES,15834
201613209349303051,541802015,"London, United Kingdom",1,0,Develop disciples who can live faith in Christ
201613209349303051,541802015,"Belfast, Ireland",1,2,Develop disciples who can live faith in Christ,23291
201633209349302843,430471057,Central America and the Caribbean,Investments,9658869
201633209349302843,430471057,Central America and the Caribbean,Investments,84762
201623209349312977,830454800,SOUTH AMERICA,1,6,PROGRAM SERVICES & GRANTS,COMMUNITY DEVELOPMNT,36672
201643199349310374,350868181,"East Asia and the Pacific - Australia, Brunei, Burma, Cambodia,",0,0,Program Services,Off-Campus Studies,19138
201643199349310374,350868181,"Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgium",1,2,Program Services,Off-Campus Studies,752811
201643199349310374,350868181,Middle East and North Africa,0,0,Program Services,Off-Campus Studies,50153
201643199349310374,350868181,Central America and the Caribbean,0,0,Program Services,Off-Campus Studies,24200
201643199349310374,350868181,"South America - Argentina, Bolivia, Brazil, Chile, Columbia, Ecuador,",0,0,Program Services,Off-Campus Studies,238440
201643199349310374,350868181,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",0,0,Program Services,Off-Campus Studies,11600
201643169349301529,580593438,CARIBBEAN,INVESTMENTS,3789571
201643169349301529,580593438,CHINA,GRANT,GRANT FOR ACC,13000
201643209349307444,116039909,"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,",1,26,PROGRAM SERVICES,EDUCATIONAL STUDIES,899209
201613439349300326,590624459,Central America and the Caribbean,0,0,Program Services,TRAVEL ABROAD COURSES,189024
201613439349300326,590624459,Central America and the Caribbean,0,0,Program Services,SEMINARS/CONFERENCES,207451
201613439349300326,590624459,East Asia and the Pacific,0,0,Program Services,SEMINARS/CONFERENCES,64289
201613439349300326,590624459,Europe (Including Iceland and Greenland),0,0,Program Services,TRAVEL ABROAD COURSES,219787
201613439349300326,590624459,Europe (Including Iceland and Greenland),0,0,Program Services,SEMINARS/CONFERENCES,25353
201613439349300326,590624459,Middle East and North Africa,0,0,Program Services,SEMINARS/CONFERENCES,6048
201613439349300326,590624459,North America (Canada & Mexico only),0,0,Program Services,SEMINARS/CONFERENCES,200
201613439349300326,590624459,South America,0,0,Program Services,TRAVEL ABROAD COURSES,187299
201613439349300326,590624459,South America,0,0,Program Services,SEMINARS/CONFERENCES,12360
201613439349300326,590624459,South Asia,0,0,Program Services,SEMINARS/CONFERENCES,55618
201613439349300326,590624459,Sub-Saharan Africa,0,0,Program Services,SEMINARS/CONFERENCES,22281
201613439349300326,590624459,Central America and the Caribbean,0,0,Investments,4750664
201613439349300326,590624459,Europe (Including Iceland and Greenland),0,0,Grantmaking,44700
201613439349300326,590624459,North America (Canada & Mexico only),0,0,Program Services,MFA PROGRAM - COURSE EXPENSES,24025
201613439349300326,590624459,Middle East and North Africa,0,0,Program Services,TRAVEL ABROAD COURSES,43143
201613439349300326,590624459,Sub-Saharan Africa,0,0,Program Services,TRAVEL ABROAD COURSES,49641
