object_id,ein,SttsWhrCpyOfRtrnIsFldCd
201513099349300216,510565938,MA
201513099349300216,510565938,MN
201513099349300216,510565938,MS
201513099349300216,510565938,NH
201513099349300216,510565938,NJ
201513099349300216,510565938,NY
201513099349300216,510565938,NC
201513099349300216,510565938,ND
201513099349300216,510565938,OH
201513099349300216,510565938,OR
201513099349300216,510565938,RI
201513099349300216,510565938,SC
201513099349300216,510565938,TN
201513099349300216,510565938,UT
201513099349300216,510565938,VA
201513099349300216,510565938,WA
201513099349300216,510565938,WV
201513099349300216,510565938,WI
201513099349300231,760516176,TX
201513099349300241,465143822,IL
201513099349300301,351932349,IN
201513099349300326,133854754,NY
201513099349300336,341263226,OH
201513099349300341,161075068,NY
201513099349300831,112694987,NY
201513099349300866,460613568,NY
201503089349301255,363558526,IL
201503089349301265,383443135,AK
201503089349301265,383443135,AL
201503089349301265,383443135,AR
201503089349301265,383443135,AZ
201503089349301265,383443135,CA
201503089349301265,383443135,CO
201503089349301265,383443135,CT
201503089349301265,383443135,DE
201503089349301265,383443135,FL
201503089349301265,383443135,GA
201503089349301265,383443135,HI
201503089349301265,383443135,ID
201503089349301265,383443135,IN
201503089349301265,383443135,KS
201503089349301265,383443135,KY
201503089349301265,383443135,LA
201503089349301265,383443135,MA
201503089349301265,383443135,MD
201503089349301265,383443135,ME
201503089349301265,383443135,MI
201503089349301265,383443135,MN
201503089349301265,383443135,MO
201503089349301265,383443135,MS
201503089349301265,383443135,MT
201503089349301265,383443135,NC
201503089349301265,383443135,NE
201503089349301265,383443135,NH
201503089349301265,383443135,NJ
201503089349301265,383443135,NM
201503089349301265,383443135,NV
201503089349301265,383443135,NY
201503089349301265,383443135,OR
201503089349301265,383443135,PA
201503089349301265,383443135,RI
201503089349301265,383443135,SC
201503089349301265,383443135,SD
201503089349301265,383443135,TN
201503089349301265,383443135,TX
201503089349301265,383443135,VA
201503089349301265,383443135,VT
201503089349301265,383443135,WA
201503089349301265,383443135,WI
201503089349301265,383443135,WV
201503089349301265,383443135,WY
201503089349301270,920093565,AK
201503089349301280,133571733,CA
201503099349301760,237409990,WA
201503099349301765,351262574,IN
201503099349301775,910459840,WA
201503099349301855,311132676,NY
201503099349301860,341967974,OH
201503099349301885,550895544,CA
201503099349301900,311361779,OH
201503039349300625,200557748,PA
201503039349300645,381359218,MI
201503039349300705,593422856,FL
201503039349300710,311741743,CA
201503039349300800,710890615,MN
201503039349300815,521494164,AL
201503039349300815,521494164,AK
201503039349300815,521494164,AZ
201503039349300815,521494164,AR
201503039349300815,521494164,CA
201503039349300815,521494164,CT
201503039349300815,521494164,DE
201503039349300815,521494164,DC
201503039349300815,521494164,FL
201503039349300815,521494164,GA
201503039349300815,521494164,HI
201503039349300815,521494164,IL
201503039349300815,521494164,KS
201503039349300815,521494164,KY
201503039349300815,521494164,LA
201503039349300815,521494164,ME
201503039349300815,521494164,MD
201503039349300815,521494164,MA
201503039349300815,521494164,MI
201503039349300815,521494164,MN
201503039349300815,521494164,MS
201503039349300815,521494164,MO
201503039349300815,521494164,NH
201503039349300815,521494164,NJ
201503039349300815,521494164,NM
201503039349300815,521494164,NY
201503039349300815,521494164,NC
201503039349300815,521494164,ND
201503039349300815,521494164,OH
201503039349300815,521494164,OK
201503039349300815,521494164,OR
201503039349300815,521494164,PA
201503039349300815,521494164,RI
201503039349300815,521494164,SC
201503039349300815,521494164,TN
201503039349300815,521494164,UT
201503039349300815,521494164,VA
201503039349300815,521494164,WA
201503039349300815,521494164,WV
201503039349300815,521494164,WI
201503039349300830,453765330,MN
201503039349300835,621515995,TN
201503089349300435,300513819,MN
201503089349300510,061121511,CT
201503089349300520,320265411,AZ
201503089349300630,271004474,GA
201503089349301315,113753238,CA
