object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Student International Recruitment,100
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad Program,400
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Ambassador of Utica College,13000
201510339349300726,161476258,Middle East and North Africa,0,0,Program Services,Employment Recruitment,2000
201510339349300726,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Speaking at Seminars or Conferences,Conference Attendance and Presentation,4000
201510339349300726,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Fieldwork,5000
201510339349300726,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,International Football Game,2000
201510339349300726,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Student International Recruitment,3000
201510339349300726,161476258,Russia and the newly independent States,0,0,Program Services,Student International Recruitment,8000
201510339349300726,161476258,South Asia,0,0,Program Services,Conference Attendance,1000
201500409349300625,860294012,Kino Bay,1,4,Program Services,Provide educational programs for school students,168115
201520419349301982,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,2370
201520419349301982,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,1787
201520419349301982,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Advertisement,11853
201520419349301982,540505922,East Asia and the Pacific,0,0,Program Services,Recruitment,14987
201520419349301982,540505922,Central America and the Caribbean,1,2,Program Services,St Lucia campus,168457
201520419349301982,540505922,Central America and the Caribbean,0,0,Program Services,Study Abroad,3723
201520419349301982,540505922,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Study Abroad,2982
201520419349301982,540505922,Central America and the Caribbean,0,0,Program Services,Financial Aid,55463
201520419349301982,540505922,East Asia and the Pacific,0,0,Program Services,Financial Aid,129250
201520419349301982,540505922,South Asia,0,0,Program Services,Financial Aid,94660
201520419349301982,540505922,South America,0,0,Program Services,Financial Aid,850
201520419349300217,340714629,Central America and the Caribbean,Investments,13643864
