object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
202141319349303834,340714363,SCHOLARSHIPS,"East Asia and the Pacific - Australia, Brunei, Burma, Cambodia,",29,450633,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgiu",136,1952605,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Middle East and North Africa - Algeria, Bahrain, Djibouti, Egypt,",1,5000,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"North America - Canada and Mexico, but not the United States",2,24500,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Russia and Neighboring States - Armenia, Azerbijan, Belarus,",4,40114,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"South America - Argentina, Bolivia, Brazil, Chile, Columbia, Ecuador,",10,87642,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina Faso,",5,70978,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,South Asia,2,15000,CREDIT TO ACCOUNT
202101379349302530,042103578,Financial Assistance,Central America and the Caribbean,4,138464,Acct Credit
202101379349302530,042103578,Financial Assistance,Europe (Including Iceland and Greenland),7,251257,Acct Credit
202101379349302530,042103578,Financial Assistance,East Asia and the Pacific,151,3292799,Acct Credit
202101379349302530,042103578,Financial Assistance,Middle East and North Africa,6,216748,Acct Credit
202101379349302530,042103578,Financial Assistance,North America,4,86506,Acct Credit
202101379349302530,042103578,Financial Assistance,Russia and the Newly Independent States,6,252360,Acct Credit
202101379349302530,042103578,Financial Assistance,South America,1,42380,Acct Credit
202101379349302530,042103578,Financial Assistance,South Asia,86,2633104,Acct Credit
202101379349302530,042103578,Financial Assistance,Sub-Saharan Africa,33,1073745,Acct Credit
202111329349300341,020222111,Scholarships/Tuition Remission,Central America and the Caribbean,5,0,N/A,82510,Student scholarships,FMV
202111329349300341,020222111,Scholarships/Tuition Remission,East Asia and the Pacific,31,0,N/A,501727,Student scholarships,FMV
202111329349300341,020222111,Scholarships/Tuition Remission,Europe (Including Iceland and Greenland),133,0,N/A,2225339,Student scholarships,fmv
202111329349300341,020222111,Scholarships/Tuition Remission,Middle East and North Africa,7,0,n/a,120015,Student scholarships,fmv
202111329349300341,020222111,Scholarships/Tuition Remission,South America,13,0,n/a,225028,Student scholarships,fmv
202111329349300341,020222111,Scholarships/Tuition remission,South Asia,12,0,N/A,197523,Student scholarships,fmv
202111329349300341,020222111,scholarship/tuition remission,Sub-Saharan Africa,10,0,n/a,172522,Student scholarships,fmv
202141329349303489,870212470,Institutional Scholarships,Africa,1,4300,Student Account,N/A,Book
202141329349303489,870212470,Institutional Scholarships,East Asia & the Paci,1,9500,Student Account,N/A,Book
202141329349303489,870212470,Institutional Scholarships,Europe,7,19850,Student Account,N/A,Book
202141329349303489,870212470,Institutional Scholarships,South America,1,10013,Student Account,N/A,Book
202101379349301535,610444671,SCHOLARSHIPS,East Asia and the Pacific,19,270829,CREDIT
202101379349301535,610444671,SCHOLARSHIPS,Europe (Including Iceland and Greenland),104,1564044,CREDIT
202101379349301535,610444671,SCHOLARSHIPS,North America,51,752655,CREDIT
202141319349301709,310536715,ACADEMIC SCHOLARSHIPS TO UD STUDENTS,Europe (Including Iceland and Greenland),98,1620307,TUITION REDUCTION CREDIT
202141319349301709,310536715,ACADEMIC SCHOLARSHIPS TO UD STUDENTS,East Asia and the Pacific,41,537604,TUITION REDUCTION CREDIT
202141319349301709,310536715,ACADEMIC SCHOLARSHIPS TO UD STUDENTS,North America (Canada & Mexico only),1,13850,TUITION REDUCTION CREDIT
202141319349301709,310536715,ACADEMIC SCHOLARSHIPS TO UD STUDENTS,North America (Canada & Mexico only),2,56248,TUITION REDUCTION CREDIT
202141329349304604,042103638,Scholarship to students,East Asia and the Pacific,23,0,211617,Tuition offset
202141329349304604,042103638,Scholarship to students,Europe (including Iceland and Greenland),56,0,654627,Tuition offset
202141329349304604,042103638,Scholarship to students,South America,2,0,23215,Tuition offset
202141329349304604,042103638,Scholarship to students,South Asia,14,0,107797,Tuition offset
202141329349304604,042103638,Scholarship to students,Sub-Saharan Africa,3,0,43204,Tuition offset
202000659349300605,240795406,FINANCIAL AID,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIU",9,50902,TUITION REDUCTION
202141329349303694,741233796,NEED BASED AWARD,EUROPE,3,12000,CHECK
202141329349303694,741233796,NEED BASED AWARD,NORTH AMERICA,2,8000,CHECK
202141329349303694,741233796,MERIT BASED AWARD,EAST ASIA & THE PACIFIC,2,3500,CHECK
202141329349303694,741233796,MERIT BASED AWARD,EUROPE,11,15273,CHECK
202141329349303694,741233796,MERIT BASED AWARD,MIDDLE EAST & NORTH AFRICA,1,1000,CHECK
202141329349303694,741233796,FACULTY/STAFF DEVELOPMENT AND RESEARCH,CENTRAL AMERICA & THE CARIBBEAN,1,1365,CHECK OR CC
