object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
202011119349301656,237013253,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202040439349300224,580568687,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001909349300440,952544535,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202042529349301104,237088831,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021339349300447,956192418,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202031369349303093,580566133,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001129349301510,581633369,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202001129349301550,590722789,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011059349301501,370681530,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001369349303875,954559065,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202000609349300500,850297355,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202021679349301407,820200906,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021149349300817,231352654,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031299349301698,410518750,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1
202021509349301027,480577656,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031259349300928,111733439,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031189349301113,480556716,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041619349301324,430719506,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041069349300109,942155109,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041069349300219,042108346,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020499349301762,880435559,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202000789349301225,930386908,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202000789349301305,231352620,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031369349304568,131967321,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202030299349300713,930401259,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011059349300936,362167770,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202030279349200103,061661135,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
