object_id,ein,RgnTxt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201930869349300133,930386858,RUSSIA AND NEIGHBORING STATES,0,2,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,41182
201930869349300133,930386858,SOUTH AMERICA,0,3,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,442090
201930869349300133,930386858,SOUTH ASIA,0,2,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,226619
201930869349300133,930386858,SUB-SAHARAN AFRICA,0,2,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,56265
201930869349300133,930386858,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,38951721
201930869349300133,930386858,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,INVESTMENTS,26241632
201930869349300133,930386858,CENTRAL AMERICA AND THE CARIBBEAN,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,91518
201930869349300133,930386858,EAST ASIA AND THE PACIFIC,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,1311824
201930869349300133,930386858,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,2298970
201930869349300133,930386858,RUSSIA AND NEIGHBORING STATES,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,33704
201930869349300133,930386858,SOUTH AMERICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,393889
201930869349300133,930386858,SUB-SAHARAN AFRICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,76127
201930869349300133,930386858,NORTH AMERICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,381740
201910919349300316,231352621,Antarctica,0,0,Program Services,Program Events,1194
201910919349300316,231352621,Central America and the Caribbean,0,0,Program Services,Research and Professional Development,15356
201910919349300316,231352621,Central America and the Caribbean,0,0,Program Services,Student Recruitment,1516
201910919349300316,231352621,East Asia and the Pacific,0,0,Fundraising,Fundraising,35671
201910919349300316,231352621,East Asia and the Pacific,0,0,Program Services,Curriculum,16096
201910919349300316,231352621,East Asia and the Pacific,0,0,Program Services,Fellowships,26901
201910919349300316,231352621,East Asia and the Pacific,0,0,Program Services,Research and Professional Development,28636
201910919349300316,231352621,East Asia and the Pacific,0,0,Program Services,Student Recruitment,7180
201910919349300316,231352621,East Asia and the Pacific,0,0,Program Services,Study Abroad,22226
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Curriculum,15261
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Curriculum,186489
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Fellowships,48129
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Program Events,2306
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Research and Professional Development,131836
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,1179551
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Program Services,Summer Language School,110500
201910919349300316,231352621,Middle East and North Africa,0,0,Program Services,Curriculum,24608
201910919349300316,231352621,Middle East and North Africa,0,0,Program Services,Fellowships,7201
201910919349300316,231352621,Middle East and North Africa,0,0,Program Services,Research and Professional Development,8973
201910919349300316,231352621,Middle East and North Africa,0,0,Program Services,Student Recruitment,3909
201910919349300316,231352621,Middle East and North Africa,0,0,Program Services,Study Abroad,157225
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Fundraising,Fundraising,109
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Curriculum,3572
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Fellowships,2636
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Research and Professional Development,25569
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Student Recruitment,733
201910919349300316,231352621,Russia and the newly independent States,0,0,Program Services,Curriculum,483
201910919349300316,231352621,Russia and the newly independent States,0,0,Program Services,Fellowships,30100
201910919349300316,231352621,Russia and the newly independent States,0,0,Program Services,Research and Professional Development,4863
201910919349300316,231352621,Russia and the newly independent States,0,0,Program Services,Study Abroad,60600
201910919349300316,231352621,South America,0,0,Program Services,Fellowships,6500
201910919349300316,231352621,South America,0,0,Program Services,Research and Professional Development,3413
201910919349300316,231352621,South America,0,0,Program Services,Student Recruitment,1781
201910919349300316,231352621,South America,0,0,Program Services,Study Abroad,36330
201910919349300316,231352621,South Asia,0,0,Fundraising,Fundraising,969
201910919349300316,231352621,South Asia,0,0,Program Services,Research and Professional Development,1368
201910919349300316,231352621,South Asia,0,0,Program Services,Student Recruitment,8261
201910919349300316,231352621,Sub-Saharan Africa,0,0,Program Services,Curriculum,20774
201910919349300316,231352621,Sub-Saharan Africa,0,0,Program Services,Fellowships,45579
201910919349300316,231352621,Sub-Saharan Africa,0,0,Program Services,Research and Professional Development,1690
201910919349300316,231352621,Sub-Saharan Africa,0,0,Program Services,Student Recruitment,429
201910919349300316,231352621,Sub-Saharan Africa,0,0,Program Services,Study Abroad,13480
201910919349300316,231352621,Central America and the Caribbean,0,0,Investments,Investments,183970825
201910919349300316,231352621,Europe (including Iceland and Greenland),0,0,Investments,Investments,8721543
201910919349300316,231352621,"North America (including Canada and Mexico, but not the United States)",0,0,Investments,Investments,3173116
201910889349300616,042111203,Central America and the Caribbean,0,0,Grantmaking,12600
201910889349300616,042111203,East Asia and the Pacific,0,0,Grantmaking,46830
201910889349300616,042111203,Europe (including Iceland and Greenland),0,0,Grantmaking,155452
201910889349300616,042111203,Middle East and North Africa,0,0,Grantmaking,46827
201910889349300616,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Grantmaking,3098
201910889349300616,042111203,South America,0,0,Grantmaking,31569
201910889349300616,042111203,Sub-Saharan Africa,0,2,Grantmaking,104257
201910889349300616,042111203,South Asia,0,0,Grantmaking,2296
201910889349300616,042111203,Central America and the Caribbean,0,0,Program Services,Conferences,1909
201910889349300616,042111203,East Asia and the Pacific,0,0,Program Services,Conferences,10413
201910889349300616,042111203,Europe (including Iceland and Greenland),0,0,Program Services,Conferences,65835
201910889349300616,042111203,Middle East and North Africa,0,0,Program Services,Conferences,959
201910889349300616,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Conferences,24454
201910889349300616,042111203,South America,0,0,Program Services,Conferences,2432
201910889349300616,042111203,Central America and the Caribbean,0,0,Program Services,Instruction,4380
201910889349300616,042111203,East Asia and the Pacific,0,0,Program Services,Instruction,827543
201910889349300616,042111203,Europe (including Iceland and Greenland),0,0,Program Services,Instruction,776862
201910889349300616,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Instruction,946
201910889349300616,042111203,Russia and the newly independent States,0,0,Program Services,Instruction,26135
201910889349300616,042111203,South America,0,0,Program Services,Instruction,23146
201910889349300616,042111203,South Asia,0,2,Program Services,Instruction,1000
201910889349300616,042111203,Sub-Saharan Africa,0,0,Program Services,Instruction,2435
201910889349300616,042111203,Central America and the Caribbean,0,0,Program Services,Professional development,542
201910889349300616,042111203,East Asia and the Pacific,0,0,Program Services,Professional development,1044
201910889349300616,042111203,Europe (including Iceland and Greenland),0,0,Program Services,Professional development,4056
201910889349300616,042111203,Central America and the Caribbean,0,0,Program Services,Program development,1160
201910889349300616,042111203,East Asia and the Pacific,0,0,Program Services,Program development,46720
201910889349300616,042111203,Europe (including Iceland and Greenland),0,4,Program Services,Program development,55735
201910889349300616,042111203,Middle East and North Africa,0,0,Program Services,Program development,1864
201910889349300616,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Program development,1644
201910889349300616,042111203,South America,0,0,Program Services,Program development,514
201910889349300616,042111203,Sub-Saharan Africa,0,1,Program Services,Program development,4480
201910889349300616,042111203,East Asia and the Pacific,0,1,Program Services,Student recruitment,17073
201910889349300616,042111203,Europe (including Iceland and Greenland),0,0,Program Services,Student recruitment,3860
201910889349300616,042111203,Middle East and North Africa,0,0,Program Services,Student recruitment,4842
201910889349300616,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Student recruitment,14424
201910889349300616,042111203,South America,0,0,Program Services,Student recruitment,2337
201910889349300616,042111203,South Asia,0,0,Program Services,Student recruitment,935
201910889349300616,042111203,Central America and the Caribbean,0,0,Investments,1293177
201920119349300102,131916574,NORTH AMERICA (INCLUDING CANADA),0,0,PROGRAM SERVICES,ONLINE TEACHING,6000
201920119349300102,131916574,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,MARKET VALUE OF INVESTMENTS,9640961
201920119349300102,131916574,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,STUDY ABROAD TRIP,58815
201920919349300307,340714687,East Asia and the Pacific,Program Services,EDUCATIONAL ACTIVITIES,1480
201920919349300307,340714687,South America,Program Services,EDUCATIONAL ACTIVITIES,18
201920919349300307,340714687,North America,Program Services,EDUCATIONAL ACTIVITIES,7185
201920919349300307,340714687,Central America and the Caribbean,Program Services,EDUCATIONAL ACTIVITIES,14029
201920919349300307,340714687,Europe (Including Iceland and Greenland),Program Services,EDUCATIONAL ACTIVITIES,33841
201920919349300307,340714687,Central America and the Caribbean,Program Services,13578
201930659349300333,350868096,Central America and the Caribbean,1,Program Services,RECRUITING,13211
201930659349300333,350868096,EAST ASIA AND THE PACIFIC,1,Program Services,RECRUITING,29673
201930659349300333,350868096,Central America and the Caribbean,Investments,N/A,1340709
201930949349301228,580633971,Central America and the Caribbean,Investments,1062732
201930949349301228,580633971,Europe (Including Iceland and Greenland),Program Services,Scouting Activities,23493
201930949349301228,580633971,Sub-Saharan Africa,Program Services,Scouting Activities,12408
201930949349301228,580633971,East Asia and the Pacific,Program Services,Scouting Activities,3743
201930949349301228,580633971,North America,Program Services,Scouting Activities,15217
201900509349300600,750827421,East Asia and the Pacific,Program services,Tuition aid,330671
201900509349300600,750827421,Central America and the Caribbean,Investments,13541922
201900509349300600,750827421,Sub-Saharan Africa,Program services,Sent books,5000
201900509349300600,750827421,South Asia,Program services,living exptuit aid,31007
201940459349300519,340868798,EUROPE,1,4,PROGRAM SERVICES,INSTRUCTIONAL,832216
201930979349300603,620485733,"EUROPE (FLORENCE, ITALY)",1,1,PROGRAM SERVICES,GLOBAL INSTRUCTION,833981
201930979349300603,620485733,"EUROPE (VIENNA, AUSTRIA)",1,1,PROGRAM SERVICES,GLOBAL INSTRUCTION,636689
201930979349300603,620485733,"SOUTH AMERICA - ARGENTINA, BOLIVIA, BRAZIL, CHILE, COLUMBIA, ECUADOR,",0,0,PROGRAM SERVICES,GLOBAL INSTRUCTION,505803
201930979349300603,620485733,"EUROPE (LONDON, ENGLAND)",0,0,PROGRAM SERVICES,GLOBAL INSTRUCTION,276167
201930329349300928,370681530,East Asia and the Pacific,0,0,Program Services,Recruiting students/semester abroad,67523
201931009349300028,800477644,Europe (Including Iceland & Greenland),0,1,Program Service,Teaching,185
201931009349300028,800477644,Sub-Saharan Africa,0,1,Program Service,Teaching/Study Abroad,24028
201900079349300305,350868101,Europe (Including Iceland and Greenland),PROGRAM SERVICES,STUDY ABROAD PROGRAMS,21625
201940159349301154,060647016,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,327530
201940159349301154,060647016,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,INVESTMENTS,569956
201910919349300006,540505977,Central America and the Caribbean,Grantmaking,122494
201910919349300006,540505977,East Asia and the Pacific,Grantmaking,578716
201910919349300006,540505977,Europe (Including Iceland and Greenland),Grantmaking,308510
201910919349300006,540505977,Middle East and North Africa,Grantmaking,311206
201910919349300006,540505977,North America,Grantmaking,161512
201910919349300006,540505977,South America,Grantmaking,170696
201910919349300006,540505977,South Asia,Grantmaking,346296
201910919349300006,540505977,Sub-Saharan Africa,Grantmaking,450018
201910919349300006,540505977,Central America and the Caribbean,Program Services,Study Abroad,36140
201910919349300006,540505977,East Asia and the Pacific,Program Services,Study Abroad,26500
201910919349300006,540505977,Europe (Including Iceland and Greenland),Program Services,Study Abroad,571940
201910919349300006,540505977,South America,Program Services,Study Abroad,29182
201910919349300006,540505977,Sub-Saharan Africa,Program Services,Study Abroad,93430
201910919349300006,540505977,Central America and the Caribbean,Investments,4967207
201900919349300850,160755807,CANADA,1,84,PROGRAM SERVICES,EDUCATION,1237197
201900849349300635,344431169,Central America and the Caribbean,0,0,Investments,9199965
201900849349300635,344431169,Central America and the Caribbean,0,7,Program Services,RECRUITING/ACADEMICS,17303
201900849349300635,344431169,East Asia and the Pacific,0,50,Program Services,RECRUITING/ACADEMICS,58437
201900849349300635,344431169,Europe (Including Iceland and Greenland),0,10,Program Services,RECRUITING/ACADEMICS,210417
201900849349300635,344431169,Middle East and North Africa,0,3,Program Services,RECRUITING/ACADEMICS,22809
201900849349300635,344431169,North America (Canada & Mexico only),0,7,Program Services,RECRUITING/ACADEMICS,18377
201900849349300635,344431169,South Asia,0,36,Program Services,RECRUITING/ACADEMICS,17635
201900849349300635,344431169,Sub-Saharan Africa,0,1,Program Services,RECRUITING/ACADEMICS,5508
201900849349300635,344431169,South America,0,6,Program Services,RECRUITING/ACADEMICS,13072
201930679349301138,390833608,Central America and the Caribbean,0,0,Investments,Investments,12623392
201940999349300919,350868086,Europe (Including Iceland and Greenland),0,0,Program Services,STUDY ABROAD,111269
201940999349300919,350868086,Central America and the Caribbean,0,0,Program Services,STUDY ABROAD,18466
201940999349300919,350868086,Sub-Saharan Africa,0,0,Program Services,STUDY ABROAD,20225
201940999349300919,350868086,Central America and the Caribbean,0,0,Investments,602608
201940999349300919,350868086,East Asia and the Pacific,0,0,Program Services,STUDY ABROAD,43068
201940999349300919,350868086,South America,0,0,Program Services,STUDY ABROAD,27695
201833179349306403,420681049,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,INVESTMENTS,2708868
201833179349306403,420681049,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,0,STUDY ABROAD PROGRAM STUDENT,107549
201921009349300802,951684793,Europe (including Iceland and Greenland),0,0,Program Services,Instruction,1343020
201921009349300802,951684793,Middle East and North Africa,0,0,Program Services,Instruction,292991
201921009349300802,951684793,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Instruction,256491
201921009349300802,951684793,Sub-Saharan Africa,0,0,Program Services,Instruction,103118
201940999349300529,560529999,Europe (including Iceland and Greenland),0,2,Program Services,STUDY ABROAD (ITALY),271210
201940999349300529,560529999,Europe (including Iceland and Greenland),0,2,Program Services,STUDY ABROAD (SPAIN),174673
201940999349300529,560529999,East Asia and the Pacific,0,2,Program Services,STUDY ABROAD (JAPAN),131307
201940999349300529,560529999,South America,0,2,Program Services,STUDY ABROAD (ECUADOR),87863
201940999349300529,560529999,Europe (including Iceland and Greenland),0,2,Program Services,STUDY ABROAD (FRANCE),79195
201940999349300529,560529999,Middle East and North Africa,0,2,Program Services,STUDY ABROAD (ISRAEL),35249
201940999349300529,560529999,Europe (including Iceland and Greenland),0,2,Program Services,STUDY ABROAD (MULTI),399994
201940999349300529,560529999,East Asia and the Pacific,0,2,Program Services,STUDY ABROAD (CHINA),20907
