object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201540239349300839,111733439,RACANELLI CONSTRUCTION CO INC,1895 WALT WHITMAN ROAD,MELVILLE,NY,11747,CONSTRUCTION,6320148
201540239349300839,111733439,KEATING and ASSOCIATES,49 ELIOT STREET,NATICK,MA,01760,ADVERTISING,2122434
201540239349300839,111733439,ALLIED BARTON SECURITY SERVICES,161 WASHINGTON STREET,CONSHOHOCKEN,PA,19428,SECURITY SERVICES,565972
201540239349300839,111733439,SIGNATURE CLEANING SERVICES INC,231 W 29TH STREET SUITE 402,FARMINGDALE,NY,11735,CLEANING,730114
201540239349300839,111733439,WILLIAM CHARLES PRINTING,40 MEDFORD AVENUE,PATCHOGUE,NY,11772,PRINTING SERVICES,391947
201520289349300407,941021164,LUETTA M REIMER,1549 S LIND,FRESNO,CA,93727,EDUCATIONAL SERVICES,183392
201520289349300407,941021164,STEVEN L YOUNG,436 E SHELLDRAKE CIRCLE,FRESNO,CA,93730,EDUCATIONAL SERVICES,155900
201500359349300125,131632522,Frawley Plaza LLC,PO Box 600,WEST EW YORK,NJ,07093,Student Housing Rent,1073736
201500359349300125,131632522,US Security Associates Inc,PO Box 931703,ATLANTA,GA,31193,Security,384810
201500359349300125,131632522,Jenzabar,PO Box 55018,BOSTON,MA,022055018,R & M Contracts,144593
201500359349300125,131632522,Xerox Corporation,PO Box 827181,PHILADELPHIA,PA,191827181,Copying,342094
201500359349300125,131632522,Sanmar Building Services LLC,134 West 29th Street Suite 704,NEW YORK,NY,10001,office maintenance,196064
201500309349301800,042111203,Sodexo Inc Affiliates,9801 Washington Blvd,Gaithersburg,MD,20878,Food service management,5012385
201500309349301800,042111203,Cutler Associates Incorporated,43 Harvard Street,Worcester,MA,016150049,Construction,2908102
201500309349301800,042111203,Consigli Construction Co Inc,72 Summer Street,Milford,MA,01757,Construction Management,1652893
201500309349301800,042111203,Tecta America Corp,508 Thomson Park Drive,Cranberry Park Drive,PA,16066,Roofing Contractor,688670
201500309349301800,042111203,UMASS Memorial Medical Community Practices,109 Belmont Street,Worcester,MA,01610,Health Service Provider,449076
201500359349301115,131988190,COMMUNITY COUNSELING SERVICES COMPANY,PO BOX 27462,NEW YORK,NY,10087,PROFESSIONAL FUNDRAISING,791875
201500359349301115,131988190,BREATHEZ ADVANCED THORACICIMAGING LLC,7 DELLMEAD DRIVE,LIVINGSTON,NJ,07039,CT SCAN READINGS,498667
201500359349301115,131988190,B3 PICTURES LLC,1225 WEST BEAVER STREET SUITE 108,JACKSONVILLE,FL,32204,CRITICAL PLANNING,392173
201500359349301115,131988190,NIXON PEABODY LLP,401 9TH ST NW 900,WASHINGTON,DC,20004,LEGAL SERVICES,377293
201500359349301115,131988190,230 WEST 41ST STREET LLC,230 W 41ST ST FL 20,NEW YORK,NY,10036,RENT,366783
201510309349300546,340868798,SODEXHO INC & AFFILIATES,4880 PAYSPHERE CIRCLE,CHICAGO,IL,60674,DINING SERVICES,2502120
201510309349300546,340868798,FRED OLIVIERI CONSTRUCTION CO,6315 PROMWAY AVE NW,NORTH CANTON,OH,44720,CONSTRUCTION CONTRACTOR,407594
201510309349300546,340868798,ANDERSON COACH & TRAVEL,ONE ANDERSON PLAZA,GREENVILLE,PA,16125,BUS SERVICES,161004
201510309349300546,340868798,MERCY MEDICAL CENTER,1320 MERCY DR NW,CANTON,OH,44708,ATHLETIC TRAINING,132755
201510309349300546,340868798,RICHARD L BOWEN & ASSOCIATES INC,13000 SHAKER BLVD,CLEVELAND,OH,44120,ENGINEERING,101741
